,name,price_level,rating,user_ratings_total,formatted_address,latitude,longitude
1298,Sam's Chicken & Ribs-Edgewater,1,3.9,113,"1102 W Granville Ave, Chicago, IL 60660, USA",41.9946663,-87.6586456
240,Sharks Fish & Tony's Steak,2,3.9,1187,"805 W 111th St, Chicago, IL 60643, USA",41.6920429,-87.6426778
306,La France Bakery,2,3.9,159,"5405 S Kedzie Ave, Chicago, IL 60632, USA",41.7951164,-87.7032362
360,El Basurero,2,3.9,428,"4781 S Archer Ave, Chicago, IL 60632, USA",41.8064615,-87.7163188
382,Alhambra Palace Restaurant,2,3.9,1613,"1240 W Randolph St, Chicago, IL 60607, USA",41.8844642,-87.6582565
462,Khan Barbeque Restaurant,2,3.9,831,"2401 W Devon Ave, Chicago, IL 60659, USA",41.997522,-87.690192
473,La Villita Restaurant,2,3.9,512,"3324 W 26th St, Chicago, IL 60623, USA",41.8446086,-87.7085613
495,Plymouth Restaurant & Rooftop Bar,2,3.9,1106,"327 S Plymouth Ct, Chicago, IL 60604, USA",41.8774756,-87.6285532
532,Waldo Cooneys Pizza,2,3.9,435,"2410 W 111th St, Chicago, IL 60655, USA",41.6919444,-87.6819444
615,El Barco Mariscos,2,3.9,1935,"1035 N Ashland Ave, Chicago, IL 60622, USA",41.900736,-87.6672159
733,Trader Todd's,2,3.9,720,"3216 N Sheffield Ave, Chicago, IL 60657, USA",41.9404424,-87.6543697
757,Dao Thai Restaurant and Noodle Palace,2,3.9,778,"230 E Ohio St, Chicago, IL 60611, USA",41.8926967,-87.6215025
787,TGI Fridays,2,3.9,2446,"153 E Erie St, Chicago, IL 60611, USA",41.894007,-87.623429
871,New Chinatown Restaurant,2,3.9,62,"207 W Cermak Rd #1913, Chicago, IL 60616, USA",41.8526575,-87.6323585
918,Sky Thai Cuisine,2,3.9,15,"1320 W Devon Ave, Chicago, IL 60660, USA",41.998344,-87.663798
962,Jade Palace,2,3.9,173,"2551 S Kedzie Ave, Chicago, IL 60623, USA",41.844816,-87.704924
1214,Skybridge Restaurant & Bar,2,3.9,518,"5600 Mannheim Rd, Chicago, IL 60666, USA",41.9739608,-87.9059924
1262,Lalo's on Maxwell,2,3.9,1307,"733 W Maxwell St, Chicago, IL 60607, USA",41.8645674,-87.646443
